system,custom_label,count
base_spacy,AGREEMENT,0
base_spacy,CLIMATE_EVENT,0
base_spacy,CLIMATE_FUND,0
base_spacy,POLICY,0
base_spacy,POLICY_MECHANISM,0
base_spacy,REPORT,0
base_spacy,THRESHOLD,0
ruler_before_ner,AGREEMENT,11
ruler_before_ner,CLIMATE_EVENT,9
ruler_before_ner,CLIMATE_FUND,2
ruler_before_ner,POLICY,4
ruler_before_ner,POLICY_MECHANISM,1
ruler_before_ner,REPORT,4
ruler_before_ner,THRESHOLD,5
ruler_after_ner,AGREEMENT,0
ruler_after_ner,CLIMATE_EVENT,5
ruler_after_ner,CLIMATE_FUND,1
ruler_after_ner,POLICY,3
ruler_after_ner,POLICY_MECHANISM,0
ruler_after_ner,REPORT,0
ruler_after_ner,THRESHOLD,0
