system,entity_label,count
base_spacy,DATE,256
base_spacy,ORG,184
base_spacy,GPE,165
base_spacy,CARDINAL,138
base_spacy,PERCENT,103
base_spacy,LOC,93
base_spacy,QUANTITY,92
base_spacy,MONEY,63
base_spacy,PERSON,36
base_spacy,NORP,21
base_spacy,ORDINAL,9
base_spacy,FAC,9
base_spacy,EVENT,8
base_spacy,TIME,8
base_spacy,WORK_OF_ART,6
base_spacy,PRODUCT,6
base_spacy,LAW,5
ruler_after_ner,DATE,256
ruler_after_ner,ORG,184
ruler_after_ner,GPE,165
ruler_after_ner,CARDINAL,138
ruler_after_ner,PERCENT,103
ruler_after_ner,LOC,93
ruler_after_ner,QUANTITY,92
ruler_after_ner,MONEY,63
ruler_after_ner,PERSON,36
ruler_after_ner,NORP,21
ruler_after_ner,ORDINAL,9
ruler_after_ner,FAC,9
ruler_after_ner,EVENT,8
ruler_after_ner,TIME,8
ruler_after_ner,WORK_OF_ART,6
ruler_after_ner,PRODUCT,6
ruler_after_ner,CLIMATE_EVENT,5
ruler_after_ner,LAW,5
ruler_after_ner,POLICY,3
ruler_after_ner,CLIMATE_FUND,1
ruler_before_ner,DATE,256
ruler_before_ner,ORG,176
ruler_before_ner,GPE,164
ruler_before_ner,CARDINAL,138
ruler_before_ner,PERCENT,103
ruler_before_ner,LOC,93
ruler_before_ner,QUANTITY,87
ruler_before_ner,MONEY,63
ruler_before_ner,PERSON,36
ruler_before_ner,NORP,21
ruler_before_ner,AGREEMENT,11
ruler_before_ner,CLIMATE_EVENT,9
ruler_before_ner,ORDINAL,9
ruler_before_ner,FAC,8
ruler_before_ner,TIME,8
ruler_before_ner,PRODUCT,6
ruler_before_ner,THRESHOLD,5
ruler_before_ner,REPORT,4
ruler_before_ner,POLICY,4
ruler_before_ner,WORK_OF_ART,4
ruler_before_ner,CLIMATE_FUND,2
ruler_before_ner,EVENT,2
ruler_before_ner,LAW,2
ruler_before_ner,POLICY_MECHANISM,1
